web-scraper-order,web-scraper-start-url,News
"1701324141-1","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Bengaluru’s first-ever Kambala ends on a grand note"
"1701324141-2","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Four-legged divas dazzle the catwalk at Bengaluru's pet fest"
"1701324141-3","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Thousands turn up to celebrate the LGBTQIA+ community"
"1701324141-4","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Thousands turn up to celebrate the LGBTQIA+ community"
"1701324141-5","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Playing a real-life character required me to be completely authentic: Prabhu"
"1701324141-6","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Bengaluru’s first-ever Kambala ends on a grand note"
"1701324141-7","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Four-legged divas dazzle the catwalk at Bengaluru's pet fest"
"1701324141-8","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","UN chief says extended Gaza truce not enough to meet aid needs"
"1701324141-9","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","'Animal' pre-release event: Mahesh Babu and SS Rajamouli join Sandeep Reddy Vanga, Ranbir Kapoor, Anil Kapoor, and Rashmika Mandanna in Hyderabad - See photos"
"1701324141-10","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Bigg Boss Kannada 10: Avinash Shetty and Pavi Povappa enter as the wild card contestants"
"1701324141-11","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Bigg Boss Kannada 10: Snehith Gowda nominated directly for speaking in English"
"1701324141-12","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Suhana Khan makes her singing debut with 'Jab Tum Na Theen' song from 'The Archies'; Khushi Kapoor, Ananya Panday and others pour love - See post"
"1701324141-13","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Gourmand Perfume Options for that Irresistible Allure"
"1701324141-14","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Suspect in shooting of Palestinian American students pleads not guilty in Vermont"
"1701324141-15","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Victor wins it for Goa"
"1701324141-16","https://timesofindia.indiatimes.com/2023/11/28/archivelist/year-2023,month-11,starttime-45258.cms","Why Goan farmers are making a bee-line for honey-money"
