Date,news,output
02-01-2020,"Sensex rises over 100 points; Nifty reclaims 12,200",2
03-01-2020,Corporate affairs min says no illegality in conversion of Tata Sons into pvt co; NCLAT reserves order,1
03-01-2020,SBI looks to divest 1% stake in NSE,2
03-01-2020,DKD family war to air Grand Finale on January 5,1
03-01-2020,"After Cyrus Mistry’s exit, growing under N Chandrasekaran: Tata Sons",2
04-01-2020,Delhi: Congress sets up war room ahead of polls,1
04-01-2020,Ratan Tata too in SC against Mistry order: ‘He lacked leadership’,0
04-01-2020,RJD-JD(U) poster war escalates,1
04-01-2020,"Tata Trustee, group cos move SC against relief to Mistry",0
04-01-2020,"Sensex slides 162 pts, Re loses 44p to 71.81",0
04-01-2020,Tata Sons’ conversion remains illegal: NCLAT,1
05-01-2020,Donald Trump threatens to bomb Iranian cultural sites in move seen as war crime,0
05-01-2020,World War II POW’s son make emotional trip from Milan to Bengaluru,1
07-01-2020,Can't keep funding losses at UK's steel plant: Tata Group chairman N Chandrasekaran,1
07-01-2020,"Iran crisis: Sensex crashes 788, ₹ slides, gold at record high",0
08-01-2020,Lt Gen P N Hoon picked up golfing skills during 1965 war in Pakistan,1
08-01-2020,Tata Capital CFO quits as co looks to raise funds,0
10-01-2020,Sensex shoots up 635 points,2
10-01-2020,Sensex shoots up 635 points on easing US-Iran tensions,2
11-01-2020,Madhya Pradesh: Relief to victims now focus in war against land mafia,1
12-01-2020,War against mental illness gets boost as teachers to be trained to help kids fight it,1
14-01-2020,Food prices drive retail inflation to 5.5-year high,0
14-01-2020,Sensex hits record 41.9k intraday,2
15-01-2020,WPI inflation jumps to 7-month high of 2.6% In December,0
15-01-2020,"In tweet, Nakul Nath attacks Modi for shrinking jobs, rising inflation",1
15-01-2020,Bengal beats big states in curbing retail inflation,0
16-01-2020,"Nagpur: Minor battle won, bigger green war remains",1
17-01-2020,"Wage war against open sale of acid, says CM Nath",1
17-01-2020,Sebi clears nine current and former NSE executives,1
17-01-2020,"Rising veggie, grain prices pushing inflation to highest in five years",0
19-01-2020,Decision to introduce Nexon EV based on cost factor: Tata Motors,2
19-01-2020,Decision to introduce Nexon EV based on cost factor: Tata Motors,2
21-01-2020,"Rising prices & crude, weak Q3 results weigh on sensex",0
22-01-2020,Uppal man wages war against plastic for 7 years,1
22-01-2020,NSE beats CME to be world’s top F&O bourse,2
23-01-2020,Pune: Automobile company’s DGM duped of Rs 2.94 lakh in I-T refund fraud case,1
23-01-2020,"Force Motors invests Rs 1,000cr on next-gen platform",1
23-01-2020,Force Motors invests Rs 1k cr over 4 yrs on new platform,1
23-01-2020,Sensex sheds 1.1k pts from high in 3 days,0
24-01-2020,"Sensex drops over 70 points; Nifty below 12,200",0
25-01-2020,Tata lays claim on safest car-maker tag,2
26-01-2020,"Tata co. serves notice on LSCL, MC",0
27-01-2020,Two war widows honoured in Chennai,1
27-01-2020,Shaheen Bagh: CM & Shah in bitter war,1
27-01-2020,Army stocking up munitions for 40-day war,0
28-01-2020,Ex-Citi chief may join Tata Trusts,2
28-01-2020,Sensex tanks 458 pts on epidemic fears,0
28-01-2020,BSE inks pact with NYSE parent for Brent F&O,2
29-01-2020,Sensex tanks 188 pts over Wuhan woes,0
29-01-2020,"Tata Motors raises bar for rivals with killer pricing, range for Nexon EV",2
29-01-2020,"Tata Motors raises bar for rivals with killer pricing, range for Nexon EV",2
30-01-2020,Citizens gear up to wage another green war,1
01-02-2020,Sensex up 3% since last Budget,2
02-02-2020,Strife on D-Street: Sensex tanks 988 points in biggest Budget Day plunge,0
02-02-2020,It’s a war cry against Kerala: Thomas Isaac,1
03-02-2020,War Hammer reduces Indian Derby to one-horse race,1
03-02-2020,"Sensex drops over 150 points; Nifty below 11,700",0
05-02-2020,Hyderabad an incubator for firms engaged in war on cancer,1
05-02-2020,"Sensex gains 917 points, sharpest in 5 months",2
07-02-2020,"Govt, governor in war of nerves over Budget speech",1
13-02-2020,Ratan Tata’s former executive assistant is Tata Trusts’ 1st CEO,1
