web-scraper-order,web-scraper-start-url,News
"1701353280-1","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Bride or groom, which team is your pet on?"
"1701353280-2","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","NBA: James Harden rejoins 76ers for training camp"
"1701353280-3","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Kartik Aaryan has turned down a chance to be in Border 2, reason revealed - Exclusive"
"1701353280-4","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Biden says he is worried Republican infighting could hurt Ukraine aid"
"1701353280-5","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Biden says he is worried Republican infighting could hurt Ukraine aid"
"1701353280-6","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Scholz says 'convinced' of continued US support for Ukraine"
"1701353280-7","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Class 10 boy shot, wounded by terrorists in Anantnag"
"1701353280-8","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Hizbul Mujahideen duo killed in Kulgam encounter, arms & ammo recovered"
"1701353280-9","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Kabul calls Pakistan’s move to evict refugees ‘unacceptable’"
"1701353280-10","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Kevin Spacey rushed to hospital over concerns of a 'heart attack'"
"1701353280-11","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Trump lawyers go after accountant and appeal major pretrial ruling in New York fraud case"
"1701353280-12","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Alvaro Morata's brace seals thrilling Atletico Madrid victory over Feyenoord"
"1701353280-13","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Scotland police close Glasgow gurdwara case, say ‘no criminality’"
"1701353280-14","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","55 Chinese sailors feared killed in sea 'ambush' gone wrong"
"1701353280-15","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","National Games opening delayed by a day"
"1701353280-16","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Kundali Bhagya update, October 4: Karan and Shaurya’s relationship improves"
"1701353280-17","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","Strong Angle Brackets: Top Picks"
"1701353280-18","https://timesofindia.indiatimes.com/2023/10/5/archivelist/year-2023,month-10,starttime-45204.cms","2023 MTV Europe Music Awards Nominations List: Taylor Swift, Jung Kook, Miley Cyrus compete for Best Song; DIVINE and Dee MC nominated for Best Indian Act"
