,Date,output
0,2020-01-02,2
1,2020-01-03,2
2,2020-01-04,0
3,2020-01-05,0
4,2020-01-07,0
5,2020-01-08,0
6,2020-01-10,2
7,2020-01-11,1
8,2020-01-12,1
9,2020-01-14,0
10,2020-01-15,0
11,2020-01-16,1
12,2020-01-17,1
13,2020-01-19,2
14,2020-01-21,0
15,2020-01-22,2
16,2020-01-23,1
17,2020-01-24,0
18,2020-01-25,2
19,2020-01-26,0
20,2020-01-27,1
21,2020-01-28,2
22,2020-01-29,2
23,2020-01-30,1
24,2020-02-01,2
25,2020-02-02,0
26,2020-02-03,0
27,2020-02-05,2
28,2020-02-07,1
29,2020-02-13,1
30,2020-02-18,0
31,2020-02-19,2
32,2020-02-21,1
33,2020-02-23,1
34,2020-02-25,0
35,2020-02-27,0
36,2020-02-28,0
37,2020-02-29,0
38,2020-03-03,0
39,2020-03-04,1
40,2020-03-05,0
41,2020-03-07,0
42,2020-03-08,1
43,2020-03-10,0
44,2020-03-11,0
45,2020-03-12,1
46,2020-03-13,0
47,2020-03-15,0
48,2020-03-16,0
49,2020-03-17,0
50,2020-03-18,0
51,2020-03-19,0
52,2020-03-20,0
53,2020-03-21,2
54,2020-03-22,1
55,2020-03-23,1
56,2020-03-24,0
57,2020-03-25,1
58,2020-03-26,2
59,2020-03-27,0
60,2020-03-28,0
61,2020-03-29,1
62,2020-03-30,1
63,2020-03-31,1
64,2020-04-01,0
65,2020-04-02,1
66,2020-04-03,1
67,2020-04-04,0
68,2020-04-05,1
69,2020-04-07,1
70,2020-04-08,1
71,2020-04-09,2
72,2020-04-10,2
73,2020-04-11,1
74,2020-04-12,1
75,2020-04-13,1
76,2020-04-14,0
77,2020-04-15,1
78,2020-04-16,1
79,2020-04-18,2
80,2020-04-19,1
81,2020-04-20,1
82,2020-04-21,1
83,2020-04-22,0
84,2020-04-23,2
85,2020-04-26,1
86,2020-04-27,0
87,2020-04-28,1
88,2020-04-29,1
89,2020-04-30,1
90,2020-05-01,2
91,2020-05-02,1
92,2020-05-05,0
93,2020-05-10,1
94,2020-05-11,0
95,2020-05-13,1
96,2020-05-14,1
97,2020-05-15,1
98,2020-05-17,1
99,2020-05-18,1
100,2020-05-19,0
101,2020-05-20,1
102,2020-05-22,0
103,2020-05-23,0
104,2020-05-26,1
105,2020-05-28,2
106,2020-05-31,1
107,2020-06-01,1
108,2020-06-02,2
109,2020-06-03,2
110,2020-06-09,1
111,2020-06-12,1
112,2020-06-13,2
113,2020-06-14,1
114,2020-06-17,2
115,2020-06-18,1
116,2020-06-19,0
117,2020-06-20,0
118,2020-06-21,1
119,2020-06-22,2
120,2020-06-24,1
121,2020-06-27,1
122,2020-06-30,0
123,2020-07-01,1
124,2020-07-03,2
125,2020-07-05,1
126,2020-07-07,1
127,2020-07-08,0
128,2020-07-11,1
129,2020-07-16,1
130,2020-07-17,2
131,2020-07-18,1
132,2020-07-19,1
133,2020-07-20,1
134,2020-07-22,2
135,2020-07-23,1
136,2020-07-24,1
137,2020-07-25,0
138,2020-07-26,0
139,2020-07-27,1
140,2020-07-28,1
141,2020-07-29,0
142,2020-07-30,1
143,2020-08-01,0
144,2020-08-03,1
145,2020-08-04,0
146,2020-08-05,1
147,2020-08-07,2
148,2020-08-08,1
149,2020-08-11,1
150,2020-08-12,2
151,2020-08-14,0
152,2020-08-15,1
153,2020-08-16,1
154,2020-08-17,1
155,2020-08-18,2
156,2020-08-19,1
157,2020-08-21,0
158,2020-08-22,1
159,2020-08-23,1
160,2020-08-24,1
161,2020-08-26,0
162,2020-08-27,2
163,2020-08-28,1
164,2020-08-29,1
165,2020-08-30,1
166,2020-08-31,1
167,2020-09-01,0
168,2020-09-05,1
169,2020-09-06,1
170,2020-09-07,2
171,2020-09-11,1
172,2020-09-12,1
173,2020-09-13,1
174,2020-09-15,1
175,2020-09-16,1
176,2020-09-18,1
177,2020-09-19,2
178,2020-09-20,1
179,2020-09-21,1
180,2020-09-22,0
181,2020-09-23,0
182,2020-09-25,0
183,2020-09-26,1
184,2020-10-01,1
185,2020-10-02,2
186,2020-10-04,1
187,2020-10-06,1
188,2020-10-08,2
189,2020-10-09,2
190,2020-10-10,1
191,2020-10-11,1
192,2020-10-12,1
193,2020-10-13,1
194,2020-10-14,1
195,2020-10-16,0
196,2020-10-18,2
197,2020-10-23,1
198,2020-10-24,1
199,2020-10-26,0
200,2020-10-28,0
201,2020-10-29,0
202,2020-10-31,1
203,2020-11-01,1
204,2020-11-02,2
205,2020-11-03,1
206,2020-11-04,1
207,2020-11-06,2
208,2020-11-07,2
209,2020-11-08,1
210,2020-11-09,1
211,2020-11-10,1
212,2020-11-11,1
213,2020-11-12,1
214,2020-11-13,2
215,2020-11-14,1
216,2020-11-15,2
217,2020-11-17,1
218,2020-11-18,1
219,2020-11-19,1
220,2020-11-20,1
221,2020-11-22,1
222,2020-11-25,2
223,2020-11-26,1
224,2020-11-27,1
225,2020-11-28,2
226,2020-11-30,1
227,2020-12-01,1
228,2020-12-02,2
229,2020-12-03,1
230,2020-12-05,2
231,2020-12-08,1
232,2020-12-09,2
233,2020-12-10,2
234,2020-12-11,1
235,2020-12-15,1
236,2020-12-16,1
237,2020-12-17,1
238,2020-12-18,0
239,2020-12-19,2
240,2020-12-20,1
241,2020-12-21,1
242,2020-12-22,0
243,2020-12-23,2
244,2020-12-24,1
245,2020-12-25,1
246,2020-12-26,1
247,2020-12-28,1
248,2020-12-29,2
249,2020-12-30,2
